order_id,order_date,order_month,order_status,customer_id,country,product_id,product_name,category,brand,supplier_id,supplier_name,quantity,unit_price,revenue,cost_price,selling_price,margin,margin_percentage,stock_quantity,stock_status,delivery_days,reliability_score
28,2025-08-21,2025-08,Completed,1115,Germany,15,Wall Shelf 1,Home,HomeStyle,4,HomeStyle Distribution,2,125.36,250.72,79.21,131.96,52.75,0.3997,150,High Stock,4,4.5
28,2025-08-21,2025-08,Completed,1115,Germany,83,Lunch Box 13,Green Living,EcoTrend,8,EcoTrend Supply,1,41.87,41.87,32.32,41.87,9.55,0.2281,60,Medium Stock,6,4.3
29,2025-08-21,2025-08,Completed,1038,Austria,7,Smart Plug 7,Electronics,TechNova,1,TechNova Supplies,1,18.02,18.02,12.67,18.97,6.3,0.3321,60,Medium Stock,3,4.8
29,2025-08-21,2025-08,Completed,1038,Austria,52,Hair Dryer 10,Beauty,BeautyPro,6,BeautyPro Trade,2,14.65,29.3,9.27,14.65,5.38,0.3672,18,Low Stock,2,4.7
29,2025-08-21,2025-08,Completed,1038,Austria,12,Wireless Mouse 12,Electronics,TechNova,1,TechNova Supplies,1,49.17,49.17,33.51,51.76,18.25,0.3526,60,Medium Stock,3,4.8
30,2025-08-21,2025-08,Cancelled,1096,Austria,75,Reusable Bottle 5,Green Living,EcoTrend,8,EcoTrend Supply,1,96.77,96.77,69.39,96.77,27.38,0.2829,120,High Stock,6,4.3
31,2025-08-21,2025-08,Completed,1004,Spain,90,Drawing Kit 6,Kids,KidsWorld,9,KidsWorld Source,1,78.05,78.05,54.41,78.05,23.64,0.3029,60,Medium Stock,8,3.8
31,2025-08-21,2025-08,Completed,1004,Spain,32,Jump Rope 4,Fitness,UrbanFit,5,UrbanFit Partners,3,124.83,374.49,66.2,124.83,58.63,0.4697,150,High Stock,7,3.9
31,2025-08-21,2025-08,Completed,1004,Spain,75,Reusable Bottle 5,Green Living,EcoTrend,8,EcoTrend Supply,3,91.93,275.79,69.39,96.77,27.38,0.2829,120,High Stock,6,4.3
32,2025-08-22,2025-08,Processing,1097,Austria,1,Wireless Mouse 1,Electronics,TechNova,1,TechNova Supplies,2,9.34,18.68,6.88,9.83,2.95,0.3001,25,Medium Stock,3,4.8
32,2025-08-22,2025-08,Processing,1097,Austria,66,Desk Organizer 10,Office,OfficePlus,7,OfficePlus Vendor,2,71.21,142.42,52.78,74.96,22.18,0.2959,120,High Stock,5,4.2
33,2025-08-22,2025-08,Completed,1127,Germany,15,Wall Shelf 1,Home,HomeStyle,4,HomeStyle Distribution,3,129.32,387.96,79.21,131.96,52.75,0.3997,150,High Stock,4,4.5
33,2025-08-22,2025-08,Completed,1127,Germany,79,Reusable Bottle 9,Green Living,EcoTrend,8,EcoTrend Supply,3,25.67,77.01,13.65,25.67,12.02,0.4683,18,Low Stock,6,4.3
33,2025-08-22,2025-08,Completed,1127,Germany,1,Wireless Mouse 1,Electronics,TechNova,1,TechNova Supplies,1,9.83,9.83,6.88,9.83,2.95,0.3001,25,Medium Stock,3,4.8
33,2025-08-22,2025-08,Completed,1127,Germany,39,Resistance Band 11,Fitness,UrbanFit,5,UrbanFit Partners,2,40.53,81.06,25.89,40.53,14.64,0.3612,150,High Stock,7,3.9
34,2025-08-24,2025-08,Cancelled,1123,Netherlands,59,Monitor Stand 3,Office,OfficePlus,7,OfficePlus Vendor,1,129.44,129.44,71.06,129.44,58.38,0.451,60,Medium Stock,5,4.2
35,2025-08-24,2025-08,Completed,1028,Italy,17,Storage Box 3,Home,HomeStyle,4,HomeStyle Distribution,1,98.77,98.77,65.38,98.77,33.39,0.3381,12,Low Stock,4,4.5
35,2025-08-24,2025-08,Completed,1028,Italy,12,Wireless Mouse 12,Electronics,TechNova,1,TechNova Supplies,2,51.76,103.52,33.51,51.76,18.25,0.3526,60,Medium Stock,3,4.8
36,2025-08-27,2025-08,Completed,1015,Netherlands,5,Bluetooth Speaker 5,Electronics,TechNova,1,TechNova Supplies,2,52.59,105.18,38.69,55.36,16.67,0.3011,8,Low Stock,3,4.8
36,2025-08-27,2025-08,Completed,1015,Netherlands,21,Air Humidifier 7,Home,HomeStyle,4,HomeStyle Distribution,1,15.14,15.14,11.82,15.14,3.32,0.2193,12,Low Stock,4,4.5
36,2025-08-27,2025-08,Completed,1015,Netherlands,39,Resistance Band 11,Fitness,UrbanFit,5,UrbanFit Partners,3,39.72,119.16,25.89,40.53,14.64,0.3612,150,High Stock,7,3.9
36,2025-08-27,2025-08,Completed,1015,Netherlands,7,Smart Plug 7,Electronics,TechNova,1,TechNova Supplies,3,18.59,55.77,12.67,18.97,6.3,0.3321,60,Medium Stock,3,4.8
37,2025-08-27,2025-08,Returned,1098,Germany,25,Wall Shelf 11,Home,HomeStyle,4,HomeStyle Distribution,3,92.15,276.45,62.64,92.15,29.51,0.3202,40,Medium Stock,4,4.5
37,2025-08-27,2025-08,Returned,1098,Germany,1,Wireless Mouse 1,Electronics,TechNova,1,TechNova Supplies,2,9.83,19.66,6.88,9.83,2.95,0.3001,25,Medium Stock,3,4.8
37,2025-08-27,2025-08,Returned,1098,Germany,66,Desk Organizer 10,Office,OfficePlus,7,OfficePlus Vendor,2,74.96,149.92,52.78,74.96,22.18,0.2959,120,High Stock,5,4.2
37,2025-08-27,2025-08,Returned,1098,Germany,8,Smart Plug 8,Electronics,TechNova,1,TechNova Supplies,3,89.23,267.69,50.28,89.23,38.95,0.4365,120,High Stock,3,4.8
38,2025-08-28,2025-08,Completed,1161,Netherlands,18,Wall Shelf 4,Home,HomeStyle,4,HomeStyle Distribution,2,32.99,65.98,20.95,32.99,12.04,0.365,120,High Stock,4,4.5
38,2025-08-28,2025-08,Completed,1161,Netherlands,2,Wireless Mouse 2,Electronics,TechNova,1,TechNova Supplies,1,102.02,102.02,55.75,102.02,46.27,0.4535,12,Low Stock,3,4.8
39,2025-08-28,2025-08,Cancelled,1034,Spain,29,Yoga Mat 1,Fitness,UrbanFit,5,UrbanFit Partners,2,78.25,156.5,49.92,78.25,28.33,0.362,12,Low Stock,7,3.9
40,2025-08-28,2025-08,Completed,1092,Spain,69,Desk Organizer 13,Office,OfficePlus,7,OfficePlus Vendor,1,11.5,11.5,8.14,12.1,3.96,0.3273,8,Low Stock,5,4.2
40,2025-08-28,2025-08,Completed,1092,Spain,26,Desk Lamp 12,Home,HomeStyle,4,HomeStyle Distribution,3,69.34,208.02,39.03,72.99,33.96,0.4653,40,Medium Stock,4,4.5
40,2025-08-28,2025-08,Completed,1092,Spain,11,Bluetooth Speaker 11,Electronics,TechNova,1,TechNova Supplies,3,116.68,350.04,62.98,119.06,56.08,0.471,25,Medium Stock,3,4.8
41,2025-08-28,2025-08,Returned,1114,France,58,Notebook Set 2,Office,OfficePlus,7,OfficePlus Vendor,3,14.28,42.84,10.49,14.57,4.08,0.28,40,Medium Stock,5,4.2
41,2025-08-28,2025-08,Returned,1114,France,62,Desk Organizer 6,Office,OfficePlus,7,OfficePlus Vendor,2,43.13,86.26,24.83,45.4,20.57,0.4531,150,High Stock,5,4.2
41,2025-08-28,2025-08,Returned,1114,France,11,Bluetooth Speaker 11,Electronics,TechNova,1,TechNova Supplies,3,119.06,357.18,62.98,119.06,56.08,0.471,25,Medium Stock,3,4.8
41,2025-08-28,2025-08,Returned,1114,France,60,Desk Organizer 4,Office,OfficePlus,7,OfficePlus Vendor,2,60.69,121.38,37.86,60.69,22.83,0.3762,40,Medium Stock,5,4.2
42,2025-08-29,2025-08,Completed,1042,Italy,87,Drawing Kit 3,Kids,KidsWorld,9,KidsWorld Source,1,72.48,72.48,51.16,73.96,22.8,0.3083,150,High Stock,8,3.8
42,2025-08-29,2025-08,Completed,1042,Italy,11,Bluetooth Speaker 11,Electronics,TechNova,1,TechNova Supplies,1,119.06,119.06,62.98,119.06,56.08,0.471,25,Medium Stock,3,4.8
42,2025-08-29,2025-08,Completed,1042,Italy,60,Desk Organizer 4,Office,OfficePlus,7,OfficePlus Vendor,3,60.69,182.07,37.86,60.69,22.83,0.3762,40,Medium Stock,5,4.2
43,2025-08-30,2025-08,Completed,1113,Italy,53,Face Cleanser 11,Beauty,BeautyPro,6,BeautyPro Trade,1,78.06,78.06,55.64,78.06,22.42,0.2872,12,Low Stock,2,4.7
43,2025-08-30,2025-08,Completed,1113,Italy,32,Jump Rope 4,Fitness,UrbanFit,5,UrbanFit Partners,3,118.59,355.77,66.2,124.83,58.63,0.4697,150,High Stock,7,3.9
43,2025-08-30,2025-08,Completed,1113,Italy,4,Wireless Mouse 4,Electronics,TechNova,1,TechNova Supplies,2,76.74,153.48,47.09,80.78,33.69,0.4171,150,High Stock,3,4.8
44,2025-09-02,2025-09,Processing,1025,Italy,5,Bluetooth Speaker 5,Electronics,TechNova,1,TechNova Supplies,3,52.59,157.77,38.69,55.36,16.67,0.3011,8,Low Stock,3,4.8
44,2025-09-02,2025-09,Processing,1025,Italy,71,Bamboo Cutlery 1,Green Living,EcoTrend,8,EcoTrend Supply,1,128.79,128.79,78.04,135.57,57.53,0.4244,25,Medium Stock,6,4.3
45,2025-09-02,2025-09,Completed,1029,Netherlands,97,Drawing Kit 13,Kids,KidsWorld,9,KidsWorld Source,2,107.45,214.9,65.11,109.64,44.53,0.4061,150,High Stock,8,3.8
45,2025-09-02,2025-09,Completed,1029,Netherlands,50,Makeup Mirror 8,Beauty,BeautyPro,6,BeautyPro Trade,2,23.49,46.98,16.61,23.97,7.36,0.3071,8,Low Stock,2,4.7
45,2025-09-02,2025-09,Completed,1029,Netherlands,30,Foam Roller 2,Fitness,UrbanFit,5,UrbanFit Partners,1,126.95,126.95,70.9,126.95,56.05,0.4415,40,Medium Stock,7,3.9
45,2025-09-02,2025-09,Completed,1029,Netherlands,47,Hair Dryer 5,Beauty,BeautyPro,6,BeautyPro Trade,2,26.8,53.6,17.47,27.35,9.88,0.3612,25,Medium Stock,2,4.7
46,2025-09-02,2025-09,Returned,1028,Spain,42,Jump Rope 14,Fitness,UrbanFit,5,UrbanFit Partners,3,87.9,263.7,69.79,89.69,19.9,0.2219,12,Low Stock,7,3.9
46,2025-09-02,2025-09,Returned,1028,Spain,25,Wall Shelf 11,Home,HomeStyle,4,HomeStyle Distribution,3,87.54,262.62,62.64,92.15,29.51,0.3202,40,Medium Stock,4,4.5
46,2025-09-02,2025-09,Returned,1028,Spain,4,Wireless Mouse 4,Electronics,TechNova,1,TechNova Supplies,2,80.78,161.56,47.09,80.78,33.69,0.4171,150,High Stock,3,4.8
46,2025-09-02,2025-09,Returned,1028,Spain,66,Desk Organizer 10,Office,OfficePlus,7,OfficePlus Vendor,2,74.96,149.92,52.78,74.96,22.18,0.2959,120,High Stock,5,4.2
47,2025-09-02,2025-09,Completed,1088,Austria,25,Wall Shelf 11,Home,HomeStyle,4,HomeStyle Distribution,1,90.31,90.31,62.64,92.15,29.51,0.3202,40,Medium Stock,4,4.5
47,2025-09-02,2025-09,Completed,1088,Austria,66,Desk Organizer 10,Office,OfficePlus,7,OfficePlus Vendor,3,71.21,213.63,52.78,74.96,22.18,0.2959,120,High Stock,5,4.2
47,2025-09-02,2025-09,Completed,1088,Austria,16,Wall Shelf 2,Home,HomeStyle,4,HomeStyle Distribution,3,119.67,359.01,68.21,119.67,51.46,0.43,25,Medium Stock,4,4.5
48,2025-09-04,2025-09,Completed,1097,Italy,1,Wireless Mouse 1,Electronics,TechNova,1,TechNova Supplies,1,9.34,9.34,6.88,9.83,2.95,0.3001,25,Medium Stock,3,4.8
48,2025-09-04,2025-09,Completed,1097,Italy,10,Smart Plug 10,Electronics,TechNova,1,TechNova Supplies,3,82.5,247.5,48.3,82.5,34.2,0.4145,8,Low Stock,3,4.8
48,2025-09-04,2025-09,Completed,1097,Italy,32,Jump Rope 4,Fitness,UrbanFit,5,UrbanFit Partners,3,122.33,366.99,66.2,124.83,58.63,0.4697,150,High Stock,7,3.9
48,2025-09-04,2025-09,Completed,1097,Italy,86,Drawing Kit 2,Kids,KidsWorld,9,KidsWorld Source,3,30.99,92.97,19.39,32.62,13.23,0.4056,90,High Stock,8,3.8
49,2025-09-04,2025-09,Completed,1022,Germany,7,Smart Plug 7,Electronics,TechNova,1,TechNova Supplies,1,18.97,18.97,12.67,18.97,6.3,0.3321,60,Medium Stock,3,4.8
49,2025-09-04,2025-09,Completed,1022,Germany,71,Bamboo Cutlery 1,Green Living,EcoTrend,8,EcoTrend Supply,3,132.86,398.58,78.04,135.57,57.53,0.4244,25,Medium Stock,6,4.3
49,2025-09-04,2025-09,Completed,1022,Germany,37,Resistance Band 9,Fitness,UrbanFit,5,UrbanFit Partners,2,61.64,123.28,49.13,61.64,12.51,0.203,8,Low Stock,7,3.9
49,2025-09-04,2025-09,Completed,1022,Germany,67,Pen Kit 11,Office,OfficePlus,7,OfficePlus Vendor,3,59.15,177.45,47.07,62.26,15.19,0.244,18,Low Stock,5,4.2
50,2025-09-05,2025-09,Completed,1043,Netherlands,19,Wall Shelf 5,Home,HomeStyle,4,HomeStyle Distribution,1,26.83,26.83,15.47,26.83,11.36,0.4234,150,High Stock,4,4.5
50,2025-09-05,2025-09,Completed,1043,Netherlands,69,Desk Organizer 13,Office,OfficePlus,7,OfficePlus Vendor,3,12.1,36.3,8.14,12.1,3.96,0.3273,8,Low Stock,5,4.2
50,2025-09-05,2025-09,Completed,1043,Netherlands,60,Desk Organizer 4,Office,OfficePlus,7,OfficePlus Vendor,2,60.69,121.38,37.86,60.69,22.83,0.3762,40,Medium Stock,5,4.2
50,2025-09-05,2025-09,Completed,1043,Netherlands,15,Wall Shelf 1,Home,HomeStyle,4,HomeStyle Distribution,3,131.96,395.88,79.21,131.96,52.75,0.3997,150,High Stock,4,4.5
